spec,category_chain_or_product,method,status,reason,category,http_status,rpc_code,rpc_message
arb,chain,eth_sendRawTransactionSync,fail,jsonrpc error,Mutation method - stale gas price example,200,-32000,"max fee per gas less than block base fee: address 0x627306090abaB3A6e1400e9345bC60c78a8BEf57, maxFeePerGas: 1000 baseFee: 20022000"
arb,chain,eth_simulateV1,fail,jsonrpc error,Mutation method needs funded sender,200,-38014,err: insufficient funds for gas * price + value: address 0xC000000000000000000000000000000000000000 have 20000000000 want 16888498602639361 (supplied gas 1125899906842624)
arb,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
gensyn,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,"insufficient funds for gas * price + value: balance 0, tx cost 2000000003143695018, overshot 2000000003143695018"
lens,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
sui,chain,unsafe_batchTransaction,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,Invalid params
sui,chain,unsafe_mergeCoins,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,Invalid params
arc,chain,eth_newPendingTransactionFilter,fail,jsonrpc error,Other JSON-RPC error,200,-32001,Pending transaction filters are not allowed
monad,chain,eth_newBlockFilter,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
shape,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,"insufficient funds for gas * price + value: balance 0, tx cost 2000000062368332396, overshot 2000000062368332396"
monad,chain,eth_newPendingTransactionFilter,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
monad,chain,eth_protocolVersion,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
gnosis,chain,eth_sendRawTransaction,fail,jsonrpc error,Other JSON-RPC error,200,-32000,"InsufficientFunds, Balance is zero, cannot pay gas"
gnosis,chain,eth_sendRawTransactionSync,fail,jsonrpc error,Method not supported on chain,200,-32601,The method 'eth_sendRawTransactionSync' is not supported.
blast,chain,eth_protocolVersion,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_protocolVersion does not exist/is not available
blast,chain,eth_sendRawTransaction,fail,jsonrpc error,Other JSON-RPC error,200,-32000,invalid sender
blast,chain,eth_sendRawTransactionSync,fail,jsonrpc error,Other JSON-RPC error,200,-32000,invalid sender
linea,chain,eth_protocolVersion,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_protocolVersion does not exist/is not available
linea,chain,eth_sendRawTransaction,fail,jsonrpc error,Other JSON-RPC error,200,-32000,"transaction gas price below minimum: gas tip cap 1000, minimum needed 1000000"
rise,chain,eth_sendRawTransactionSync,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_sendRawTransactionSync on RISE_MAINNET""}}"
